"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.854801297E1,6.149878983E1,2.309746189E1,8.541606026E1,1.000225717E0,8.012318374E1,4.730038395E0,3.383973081E0
8.954801285E1,6.149879167E1,2.309748003E1,8.548509704E1,9.650489932E-1,8.216098631E1,4.729952497E0,3.384093144E0
9.054800594E1,6.149879409E1,2.309750149E1,8.539604407E1,1.059037893E0,8.175311022E1,4.731133056E0,3.382442466E0
9.154800439E1,6.149879680E1,2.309752650E1,8.537849219E1,1.206237641E0,8.137936342E1,4.730873866E0,3.382804974E0
9.254800391E1,6.149879848E1,2.309754298E1,8.546914083E1,1.061398348E0,8.109886457E1,4.730172112E0,3.383786168E0
9.354800642E1,6.149879632E1,2.309755991E1,8.540622903E1,9.302036481E-1,9.355931444E1,4.731314262E0,3.382188993E0
9.454800129E1,6.149878831E1,2.309756539E1,8.514389830E1,6.944094677E-1,1.268512829E2,4.730966341E0,3.382675645E0
9.554799962E1,6.149877464E1,2.309756304E1,8.513590457E1,9.330472084E-1,1.628931786E2,4.731283578E0,3.382231917E0
9.654799783E1,6.149876401E1,2.309755558E1,8.529552099E1,1.001693585E0,1.805202493E2,4.730579721E0,3.383216300E0
9.754799700E1,6.149875278E1,2.309754870E1,8.509977347E1,1.115957931E0,1.883304445E2,4.732596088E0,3.380395140E0
9.854799557E1,6.149874559E1,2.309754379E1,8.515874509E1,9.240626658E-1,1.937599342E2,4.735310537E0,3.376591647E0
9.954799438E1,6.149873700E1,2.309754067E1,8.493126286E1,9.319312830E-1,1.929712341E2,4.734775730E0,3.377341531E0
1.005479925E2,6.149872861E1,2.309754014E1,8.462469470E1,9.038061895E-1,1.896009048E2,4.730633520E0,3.383141075E0
1.015479915E2,6.149872277E1,2.309754503E1,8.468680444E1,6.836601895E-1,1.795866168E2,4.730488165E0,3.383344314E0
1.025479908E2,6.149872228E1,2.309755297E1,8.462496745E1,3.263097802E-1,1.583435973E2,4.729694595E0,3.384453586E0
1.035479896E2,6.149871703E1,2.309755405E1,8.468437764E1,5.617957101E-1,1.640328653E2,4.732652959E0,3.380315518E0
