"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.317806750E0,-6.021237561E-1,-1.920968217E-1,-2.080610653E0
2.337788750E0,-5.223680270E-1,1.961404637E-1,-1.914349753E0
2.357770750E0,-3.283752456E-1,6.269410935E-1,-1.551238246E0
2.377752750E0,1.009606567E-1,7.823983848E-1,-1.089863110E0
2.397734750E0,2.441690545E-1,1.060355721E0,-6.443953246E-1
2.417715750E0,1.409459639E-1,1.209959950E0,5.819207489E-2
2.437697750E0,-6.103199445E-2,1.318344231E0,3.239760929E-1
2.457679750E0,-4.910235889E-2,1.428084775E0,5.151063699E-1
2.477661750E0,-1.164670341E-1,1.549689903E0,8.872477323E-1
2.497643750E0,-3.474277400E-1,1.274716109E0,1.099543760E0
2.517625750E0,-3.854524027E-1,1.154845264E0,1.335518088E0
2.537607750E0,-3.046361348E-1,1.362233432E0,2.045594602E0
2.557589750E0,-2.788823658E-1,1.911110981E0,2.887466771E0
2.577571750E0,-7.716547839E-1,3.168205628E0,2.630799732E0
2.597553750E0,-2.298548513E-1,2.291675549E0,5.565543580E-1
2.617535750E0,6.974181685E-1,9.974317870E-1,1.166212544E0
2.637517750E0,1.001920914E0,-1.455680709E0,3.158663557E0
2.657499750E0,9.430585286E-1,-3.292432940E0,4.086818410E0
2.677481750E0,9.831430922E-1,-3.551571305E0,3.601194870E0
2.697463750E0,1.190005668E0,-2.849252585E0,2.068426809E0
2.717445750E0,1.141199983E0,-1.990832211E0,-1.594225806E-1
2.737427125E0,6.811705104E-1,-1.612044319E0,-1.665970557E0
2.757409125E0,2.398676234E-1,-1.526415354E0,-2.112412489E0
2.777391125E0,3.853200363E-1,-1.536278145E0,-2.152719101E0
2.797373125E0,1.079315976E0,-1.070749439E0,-2.063124554E0
2.817355125E0,2.042256865E0,-2.884200516E-1,-1.818457755E0
2.837337125E0,2.077233886E0,1.747302988E-1,-1.594100091E0
2.857319125E0,1.318791836E0,1.491905379E-1,-1.594918116E0
2.877301125E0,5.220295463E-1,-5.185252368E-2,-1.650618693E0
2.897283125E0,3.416682326E-1,1.717783320E-1,-1.316821032E0
2.917265125E0,3.573776545E-1,2.637673134E-1,-8.228862602E-1
2.937247125E0,2.524591637E-1,4.166389659E-1,-8.371721774E-1
2.957229125E0,-2.287306510E-2,3.642876747E-1,-6.251550615E-1
2.977211125E0,-2.208168831E-1,3.096776041E-1,-5.856302226E-1
2.997193125E0,9.327931568E-2,5.989440402E-1,-4.886670148E-1
3.017175125E0,6.311612483E-1,8.813057917E-1,-1.306039935E-1
3.037157125E0,8.554771053E-1,1.215462472E0,-7.948938847E-2
3.057139125E0,6.012601954E-1,1.357790717E0,-3.509767807E-1
3.077121125E0,3.522584903E-1,1.438241388E0,-4.142600262E-1
3.097103125E0,4.395600513E-2,1.450072937E0,-7.898185015E-2
3.117085125E0,-8.670302533E-2,1.547446327E0,2.830765736E-1
3.137067125E0,6.811805237E-2,1.607961500E0,4.700547427E-1
3.157049125E0,1.326627251E-1,1.704959499E0,1.059757551E0
3.177031125E0,-3.255038973E-1,1.727615998E0,1.852854586E0
3.197013125E0,-7.198931844E-1,2.112893130E0,2.059332635E0
3.216995125E0,-5.962725205E-1,2.175779935E0,1.402438887E0
3.236977125E0,-3.248842386E-1,1.122394679E0,1.045733589E0
3.256959125E0,-2.932274862E-1,-4.869719070E-1,2.073591070E0
3.276940125E0,-3.406654351E-1,-1.798879231E0,2.905299025E0
3.296922125E0,-1.961299387E-1,-2.256967939E0,2.399897863E0
3.316904125E0,-1.698562791E-1,-1.721337550E0,1.077196872E0
3.336886125E0,-6.661229201E-1,-1.317684665E0,-4.647051251E-1
3.356868125E0,-1.159529030E0,-1.126148884E0,-1.443280519E0
3.376850125E0,-1.706126896E0,-1.064517184E0,-1.576581833E0
3.396832125E0,-1.904064209E0,-1.058323814E0,-1.581626810E0
3.416814125E0,-1.016021840E0,-7.603988206E-1,-1.426323593E0
3.436796125E0,-7.313061453E-2,-6.687387452E-1,-1.125886052E0
3.456778125E0,1.515126134E-1,-1.125484056E0,-7.181035709E-1
3.476760125E0,9.293966554E-2,-1.429812334E0,-6.630368328E-1
3.496742125E0,1.905948912E-1,-1.391986989E0,-1.006953685E0
3.516724125E0,4.586692636E-1,-8.956531048E-1,-1.622321677E0
3.536706125E0,3.846546963E-1,-4.568882748E-1,-2.066393732E0
3.556688125E0,3.916347369E-1,-4.201078266E-2,-2.347037864E0
3.576670125E0,1.149848380E-1,2.593269378E-1,-2.469604275E0
3.596652125E0,-5.842537880E-2,5.389162320E-1,-2.302611305E0
3.616634125E0,-1.090266714E-1,6.216902938E-1,-1.911013917E0
3.636616125E0,1.446601152E-3,8.312220508E-1,-1.421123080E0
3.656598125E0,3.924530547E-1,8.999028611E-1,-5.693930894E-1
3.676580125E0,8.336441137E-1,1.334010676E0,2.428570855E-1
3.696562125E0,8.868452977E-1,1.411856997E0,7.629967386E-1
3.716544125E0,5.757672488E-1,1.285514454E0,9.176093996E-1
3.736526125E0,3.783869196E-1,1.333851047E0,9.146688348E-1
3.756508125E0,4.254192180E-1,1.580671960E0,1.027368069E0
3.776490125E0,6.591655375E-1,1.906796028E0,1.235872763E0
3.796472125E0,7.529398200E-1,2.005901655E0,1.450922245E0
3.816454125E0,7.236598876E-1,2.289350989E0,2.111059443E0
3.836436125E0,3.427391502E-1,2.703081257E0,2.242202550E0
3.856418125E0,2.750430109E-1,2.699536383E0,1.439191561E0
3.876400125E0,9.450875124E-1,2.065924493E0,1.025526781E0
3.896382125E0,1.194320109E0,3.787753209E-1,2.015052840E0
3.916364125E0,7.576333800E-1,-1.693749509E0,3.040120030E0
3.936346125E0,2.419818852E-1,-3.036789164E0,3.085747023E0
3.956328125E0,-1.477276559E-1,-3.206172476E0,1.816683125E0
3.976310125E0,-3.561157523E-1,-2.992666367E0,4.904469073E-2
3.996292125E0,-7.037652480E-1,-2.738436739E0,-9.842571330E-1
4.016274125E0,-9.048360108E-1,-2.407920536E0,-1.592911352E0
4.036256125E0,-5.592740076E-1,-2.031223315E0,-1.750159353E0
4.056238125E0,3.115549258E-1,-1.439951699E0,-1.584546325E0
4.076220125E0,1.063238398E0,-6.984820694E-1,-1.456444355E0
4.096202125E0,1.448367304E0,-7.822375864E-2,-1.282604880E0
4.116184125E0,1.334011992E0,5.024980187E-2,-9.310714442E-1
4.136166125E0,9.351519236E-1,1.355150700E-2,-9.230104727E-1
4.156148125E0,7.211124019E-1,8.192680031E-2,-1.211301008E0
4.176130125E0,7.601602542E-1,4.237205288E-1,-1.458128938E0
4.196112125E0,3.916432519E-1,6.945106405E-1,-1.638093957E0
4.216094125E0,1.206130389E-1,8.036036047E-1,-1.775295948E0
4.236076125E0,2.339190682E-1,7.700940889E-1,-1.642713257E0
4.256058125E0,5.370938376E-1,7.689804867E-1,-1.248332010E0
4.276040125E0,6.535177850E-1,7.778182608E-1,-5.472660559E-1
4.296022125E0,6.938611610E-1,7.069070300E-1,1.196889961E-1
4.316004125E0,6.744843654E-1,7.588051620E-1,6.712305361E-1
4.335987125E0,4.077793378E-1,9.934381387E-1,8.307139277E-1
4.355969125E0,1.197202421E-1,1.424068322E0,5.555328494E-1
4.375951125E0,1.568393173E-1,1.803975664E0,5.242432290E-1
4.395933125E0,2.444525348E-1,2.144880616E0,1.308105172E0
4.415915125E0,3.733955902E-1,2.115609454E0,2.247492526E0
4.435897125E0,4.054134448E-1,1.529495959E0,2.584882132E0
4.455879125E0,1.523919616E-1,6.557301521E-1,2.646625221E0
4.475861125E0,-1.286804789E-1,-3.602297071E-1,2.892705876E0
4.495843125E0,-5.131423998E-1,-1.290449066E0,2.837687670E0
4.515825125E0,-1.015878510E0,-1.957632159E0,1.949866326E0
4.535807125E0,-1.672909156E0,-2.146975527E0,9.756962246E-1
4.555789125E0,-2.289187852E0,-1.878656887E0,-2.534019542E-1
4.575771125E0,-2.773853324E0,-1.627525699E0,-1.536629562E0
